mod_lvl,cat,mapping,geometric,deepwalk,node2vec,struc2vec,dummy,heuristic_dbl_mst,heuristic_far_ins,heuristic_near_ins,heuristic_near_neigh
0,circuit,1.029092563,0.999975039,1.684130504,0.999994397,2.03280967,2.230840826,1.279402783,1.066628066,1.134415854,1.213427574
0,city,1.014974146,1,1.563753958,1,1.981532296,2.022514652,1.287749014,1.085225031,1.144845706,1.213384364
0,gaussian,1.001357654,1,1.364367181,1,1.693825484,1.755062226,1.256430048,1.083860504,1.095999748,1.228459901
0,uniform,1.006258761,1,1.481011811,1,2.068115625,2.150069823,1.348974496,1.085045047,1.120214638,1.200287543
1,circuit,1.131421136,1.122422912,1.322904389,1.116593088,1.598417087,1.708838527,1.163825477,1.027694293,1.052899884,1.162044205
1,city,1.074511561,1.071053897,1.245037742,1.066319145,1.342200426,1.389655068,1.103876326,0.966224552,1.031085128,1.116038709
1,gaussian,1.069896069,1.072364831,1.340437304,1.112172787,1.699358132,1.703499849,1.246976683,1.090833316,1.1015876,1.22407907
1,uniform,1.092970014,1.088686542,1.684668976,1.161710903,2.020241304,2.117241989,1.349000344,1.096353449,1.120460471,1.227536566
2,circuit,1.442114421,1.282693015,1.748254695,1.648525101,1.808598422,1.806008254,1.155927749,1.036255425,1.084960532,1.162915934
2,city,1.236920678,1.181069437,1.385021915,1.347796029,1.42377155,1.463513218,1.112865522,1.03114278,1.053295471,1.129464397
2,gaussian,1.194213372,1.190114365,1.572660062,1.408467153,1.681419357,1.702452555,1.254360466,1.080776564,1.113830611,1.20023078
2,uniform,1.20366014,1.190517454,1.888340671,1.522582883,2.096596924,2.131353368,1.361467693,1.081007783,1.11978704,1.207180586
3,circuit,1.64934338,1.484597308,2.030864277,2.08750415,2.047239596,2.101929689,1.155576773,1.031741442,1.082729116,1.16742532
3,city,1.574167596,1.295738516,1.838180021,1.791049012,1.838161749,1.887883528,1.114126547,1.036862599,1.044512971,1.122972725
3,gaussian,1.284090347,1.266432221,1.633896772,1.561499154,1.727395411,1.742151429,1.278302221,1.092953119,1.115170027,1.204983878
3,uniform,1.256821577,1.2554036,1.844039534,1.753154573,2.096161818,2.179682457,1.346653581,1.080981359,1.112970127,1.191777278
4,circuit,1.728936175,1.49333255,2.534721274,2.397545278,2.466830386,2.347696003,1.155071813,1.02917717,1.070361141,1.152885335
4,city,1.571952653,1.438798014,2.245306682,2.145267641,2.145977648,2.258506723,1.117676873,1.026263563,1.047816266,1.120489264
4,gaussian,1.385382239,1.362407253,1.727848379,1.67388578,1.749911397,1.771996406,1.288161354,1.084711658,1.111128179,1.213214746
4,uniform,1.311729914,1.298249454,1.946386264,1.887778436,2.121345003,2.138630922,1.323199694,1.084997849,1.111369975,1.198066114
5,circuit,1.74633525,1.62524015,2.469085526,2.560383119,2.532066208,2.489946603,1.144612717,1.0242481,1.066928502,1.149594906
5,city,1.575996508,1.499720742,2.426725582,2.43574336,2.569240364,2.393399998,1.117487169,1.024928224,1.043951615,1.135242082
5,gaussian,1.447505559,1.423299938,1.806692923,1.810213044,1.813902202,1.828077483,1.289692776,1.092125144,1.106135638,1.202046706
5,uniform,1.369460014,1.359881659,2.03264522,1.973113048,2.135358689,2.103687918,1.334557172,1.082365044,1.115746764,1.203971621
6,circuit,1.823261178,1.495728638,2.585763009,2.493325319,2.581280452,2.502849836,1.137406765,1.024019275,1.056870179,1.132921006
6,city,1.759092845,1.413491387,2.635734801,2.530821461,2.572551875,2.611975331,1.130641415,1.026103415,1.039405796,1.114700347
6,gaussian,1.441954256,1.468921753,1.855971296,1.840503986,1.872099856,1.899519942,1.296145625,1.091605158,1.127259854,1.207213288
6,uniform,1.428621247,1.403709578,2.095818697,2.042667135,2.124207545,2.118444465,1.33725431,1.07931977,1.125301954,1.203611711
7,circuit,1.7189086,1.579414423,2.440568324,2.394934521,2.424172262,2.307335307,1.130719379,1.027179017,1.053245223,1.124741422
7,city,1.816265264,1.441944476,2.371503593,2.545805403,2.621893908,2.453576227,1.112151866,1.024984298,1.039595611,1.107186805
7,gaussian,1.507484384,1.467711008,1.932376941,1.920122319,1.92991634,1.913906983,1.304086829,1.088169314,1.109271668,1.206234409
7,uniform,1.406442772,1.388621481,2.118990032,2.093591871,2.072136263,2.143231822,1.301770362,1.077477858,1.113545483,1.199868896
8,circuit,1.622044643,1.468975553,2.143278061,2.150987638,2.152365846,2.13441303,1.113703128,1.021768993,1.042382396,1.104579338
8,city,1.592870382,1.384409692,2.345706479,2.231893436,2.261259413,2.297862785,1.102597564,1.018625048,1.037165493,1.095125261
8,gaussian,1.569063809,1.513244941,1.995064793,2.003424333,2.017282296,1.9718284,1.314108619,1.09164762,1.113663931,1.202715468
8,uniform,1.479015732,1.437703581,2.124188691,2.080810945,2.127033681,2.112617835,1.297667779,1.088912707,1.113324125,1.208735814
9,circuit,1.460151449,1.395065773,1.876883558,1.778446345,1.881882757,1.71862252,1.075853587,1.016258226,1.028436335,1.080676313
9,city,1.610764104,1.355478556,1.934732023,1.929827325,2.093300767,1.933570194,1.078000506,1.011084482,1.023887436,1.079430433
9,gaussian,1.55874844,1.519781381,2.006847244,2.040291379,2.044198132,2.016291314,1.334877272,1.091515678,1.129909552,1.199645051
9,uniform,1.457786238,1.433217301,2.089223497,2.085533246,2.114590481,2.092496374,1.321202351,1.080546737,1.108151168,1.205961398